Algorithm,Solved,Expanded,Thread Sum Time,Wall Time
LevinTS$(\pi^{\text{SG}})$,196890.0,1716636084.0,788.2938,119.4542
PHS$(\pi^{\text{SG}})$,325624.0,1675445853.0,685.6491,109.4961
