Algorithm,Solved,Expanded,Thread Sum Time,Wall Time
LevinTS$(\pi^{\text{SG}})$,47226.2,233050490.8,69.7891,13.6405
PHS$(\pi^{\text{SG}})$,47452.0,127096718.6,38.1456,7.982
